,LIWC_neg,LIWC_pos,SentiWordNet_neg,SentiWordNet_pos,GI_neg,GI_pos,SenticNet_neg,SenticNet_pos,ANEW,EL,Source
aloof,0.0,0.0,0.0,0.25,1.0,0.0,-0.9,0.0,4.9,,2020
alternative,0.0,0.0,0.125,0.0,,,0.0,0.797,,,2020
amazing,0.0,1.0,0.25,0.0,0.0,1.0,0.0,0.956,,7.97,2020
ambassador,0.0,0.0,0.0,0.375,,,,,,,2020
ambitious,0.0,0.0,0.125,0.5,,,0.0,0.273,,7.64,2020
american,0.0,0.0,0.0,0.0,,,,,,,2020
angry,1.0,0.0,0.375,0.375,1.0,0.0,-0.64,0.0,2.85,1.24,2020
animal,0.0,0.0,0.375,0.0,,,,,,,2020
annoying,1.0,0.0,0.25,0.0,,,-0.0,0.0,,1.38,2020
anyone,0.0,0.0,0.0,0.0,,,,,,,2020
appearance,0.0,0.0,0.0,0.0,,,,,,,2020
approachable,0.0,0.0,0.0,0.625,,,0.0,0.21,,6.92,2020
approval,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.33,,,2020
aristocrat,0.0,0.0,0.0,0.0,0.0,1.0,,,,,2020
arrogant,1.0,0.0,0.375,0.5,1.0,0.0,-0.64,0.0,3.69,1.45,2020
artist,0.0,0.0,0.0,0.0,,,,,,,2020
artistic,0.0,0.0,0.0,0.0,,,0.0,0.297,,7.36,2020
artsy,0.0,0.0,0.0,0.0,,,-0.64,0.0,,,2020
asian,0.0,0.0,0.0,0.0,,,,,,,2020
aspirational,0.0,0.0,0.0,0.0,,,,,,,2020
assertive,0.0,0.0,0.25,0.625,,,0.0,0.965,,,2020
asshole,1.0,0.0,0.625,0.0,,,-0.19,0.0,,,2020
astute,0.0,0.0,0.0,0.5,0.0,1.0,-0.87,0.0,,,2020
athelete,0.0,0.0,0.0,0.0,,,,,,,2020
athlete,0.0,0.0,0.0,0.0,,,0.0,0.931,,,2020
athletic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.843,,,2020
attention,0.0,0.0,0.0,0.0,,,0.0,1.0,,,2020
attention_seeker,0.0,0.0,0.0,0.0,,,,,,,2020
attention_seeking,0.0,0.0,0.0,0.0,,,,,,,2020
attentive,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.896,,7.04,2020
attractive,0.0,0.0,0.0,0.875,0.0,1.0,0.0,0.9,,,2020
aunt,0.0,0.0,0.0,0.0,,,0.0,0.324,,,2020
authentic,0.0,0.0,0.0,0.625,0.0,1.0,0.0,0.164,,7.54,2020
average,0.0,0.0,0.0,0.0,,,0.0,0.811,,4.32,2020
avid,0.0,0.0,0.25,0.375,0.0,1.0,0.0,0.253,,,2020
aware,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.03,,,2020
awesome,0.0,1.0,0.125,0.875,,,0.0,0.9,,8.57,2020
babe,0.0,0.0,0.0,0.0,,,0.0,0.816,,,2020
baby,0.0,0.0,0.0,0.0,,,0.0,0.9,8.22,,2020
babyboomer,0.0,0.0,0.0,0.0,,,,,,,2020
bad,1.0,0.0,0.875,0.0,1.0,0.0,-0.8,0.0,,1.12,2020
balanced,0.0,0.0,0.0,0.0,,,,,,,2020
baller,0.0,0.0,0.0,0.0,,,,,,,2020
banker,0.0,0.0,0.0,0.0,,,-0.11,0.0,,,2020
bargain,0.0,0.0,0.0,0.0,0.0,1.0,-0.64,0.0,,,2020
bargain_hunter,0.0,0.0,0.0,0.0,,,0.0,0.087,,,2020
bargainer,0.0,0.0,0.0,0.0,,,-0.87,0.0,,,2020
basic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.901,,4.13,2020
basketball_player,0.0,0.0,0.0,0.0,,,,,,,2020
beach,0.0,0.0,0.0,0.0,,,0.0,0.077,8.03,,2020
beachgoer,0.0,0.0,0.0,0.0,,,,,,,2020
beautiful,0.0,1.0,0.0,0.75,,,0.0,0.778,7.6,8.41,2020
beauty,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.849,7.82,,2020
believer,0.0,0.0,0.0,0.0,,,0.0,0.9,,,2020
best,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.167,,8.45,2020
big,0.0,0.0,0.125,0.25,,,0.0,0.943,,,2020
big_spender,0.0,0.0,0.0,0.0,,,-0.17,0.0,,,2020
bigshot,0.0,0.0,0.0,0.0,,,,,,,2020
biker,0.0,0.0,0.0,0.0,,,0.0,0.756,,,2020
billionaire,0.0,0.0,0.0,0.0,,,0.0,0.821,,,2020
bitch,1.0,0.0,0.75,0.0,,,-0.83,0.0,,1.21,2020
black,0.0,0.0,0.375,0.0,,,,,5.39,,2020
bland,0.0,0.0,0.375,0.0,1.0,0.0,-0.84,0.0,4.1,2.97,2020
blogger,0.0,0.0,0.0,0.0,,,-0.98,0.0,,,2020
blonde,0.0,0.0,0.0,0.0,,,0.0,0.027,,,2020
blue_collar,0.0,0.0,0.0,0.0,,,,,,,2020
boastful,0.0,0.0,0.25,0.0,1.0,0.0,-0.91,0.0,,,2020
boater,0.0,0.0,0.0,0.0,,,-0.19,0.0,,,2020
body,0.0,0.0,0.0,0.0,,,,,5.55,,2020
bodybuilder,0.0,0.0,0.0,0.0,,,0.0,0.361,,,2020
bohemian,0.0,0.0,0.0,0.0,,,0.0,0.119,,,2020
bold,0.0,1.0,0.0,0.0,,,0.0,0.265,6.8,,2020
boomer,0.0,0.0,0.0,0.0,,,-0.64,0.0,,,2020
boot,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.756,,,2020
bore,1.0,0.0,0.125,0.0,1.0,0.0,-0.64,0.0,,,2020
bored,1.0,0.0,0.0,0.125,,,-0.25,0.0,2.95,2.44,2020
boring,1.0,0.0,0.0,0.0,,,-0.25,0.0,,2.57,2020
bossy,0.0,0.0,0.125,0.125,,,-0.83,0.0,,,2020
bougie,0.0,0.0,0.0,0.0,,,,,,,2020
bourgeois,0.0,0.0,0.0,0.0,,,,,,,2020
boy,0.0,0.0,0.0,0.25,,,,,6.32,,2020
braggart,0.0,0.0,0.0,0.125,,,0.0,0.752,,,2020
brand,0.0,0.0,0.0,0.0,,,,,,,2020
branded,0.0,0.0,0.0,0.0,,,,,,,2020
brat,0.0,0.0,0.375,0.0,1.0,0.0,-0.14,0.0,,,2020
bratty,0.0,0.0,0.5,0.375,,,-0.64,0.0,,,2020
brave,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.85,7.15,,2020
bright,0.0,1.0,0.0,0.125,0.0,1.0,0.0,0.13,7.5,7.4,2020
brilliant,0.0,1.0,0.0,0.875,0.0,1.0,0.0,0.825,,8.4,2020
british,0.0,0.0,0.0,0.0,,,,,,,2020
bro,0.0,0.0,0.0,0.0,,,,,,,2020
broke,1.0,0.0,0.125,0.25,1.0,0.0,-0.38,0.0,,,2020
brother,0.0,0.0,0.0,0.0,,,0.0,0.324,7.11,,2020
bubbly,0.0,0.0,0.125,0.0,,,0.0,0.799,,6.78,2020
budget,0.0,0.0,0.0,0.0,,,,,,,2020
budgeter,0.0,0.0,0.0,0.0,,,,,,,2020
buff,0.0,0.0,0.0,0.0,,,-0.64,0.0,,,2020
business,0.0,0.0,0.0,0.0,,,,,,,2020
business_owner,0.0,0.0,0.0,0.0,,,,,,,2020
businesslike,0.0,0.0,0.0,0.25,,,0.0,0.828,,,2020
businessman,0.0,0.0,0.0,0.0,,,0.0,0.329,,,2020
businessperson,0.0,0.0,0.0,0.0,,,0.0,0.919,,,2020
businesswoman,0.0,0.0,0.0,0.0,,,0.0,0.24,,,2020
busy,0.0,0.0,0.0,0.375,,,,,,,2020
buyer,0.0,0.0,0.0,0.0,,,-0.83,0.0,,,2020
californian,0.0,0.0,0.0,0.0,,,,,,,2020
calm,0.0,1.0,0.0,0.375,0.0,1.0,0.0,0.915,,7.13,2020
camper,0.0,0.0,0.0,0.0,,,,,,,2020
capable,0.0,0.0,0.0,0.125,0.0,1.0,0.0,0.349,7.16,,2020
capitalist,0.0,0.0,0.0,0.0,,,-0.78,0.0,,,2020
car,0.0,0.0,0.0,0.0,,,,,7.73,,2020
care,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.356,,,2020
career,0.0,0.0,0.0,0.0,,,,,,,2020
carefree,0.0,1.0,0.375,0.5,0.0,1.0,0.0,0.35,7.54,,2020
careful,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.862,,,2020
careless,1.0,0.0,0.5,0.0,1.0,0.0,-0.88,0.0,,,2020
caring,0.0,1.0,0.5,0.5,,,0.0,0.299,,7.88,2020
casual,0.0,0.0,0.625,0.125,0.0,1.0,-0.86,0.0,,,2020
caucasian,0.0,0.0,0.0,0.0,,,,,,,2020
cautious,0.0,0.0,0.0,0.375,,,-0.8,0.0,,,2020
celebrity,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.826,,,2020
ceo,0.0,0.0,0.0,0.0,,,,,,,2020
challenger,0.0,1.0,0.0,0.0,,,0.0,0.197,,,2020
champion,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.299,8.44,,2020
character,0.0,0.0,0.0,0.0,,,,,,,2020
charismatic,0.0,0.0,0.0,0.5,,,0.0,0.089,,7.39,2020
charming,0.0,1.0,0.0,0.5,,,0.0,0.9,,7.76,2020
chaser,0.0,0.0,0.0,0.0,,,,,,,2020
cheap,0.0,0.0,0.25,0.0,1.0,0.0,-0.64,0.0,,3.47,2020
cheapskate,0.0,0.0,0.0,0.0,,,-0.81,0.0,,,2020
cheerful,0.0,1.0,0.0,0.75,0.0,1.0,0.0,0.33,,7.93,2020
cheerleader,0.0,0.0,0.0,0.125,,,,,,,2020
chic,0.0,0.0,0.0,0.625,0.0,1.0,0.0,0.858,,6.36,2020
chick,0.0,0.0,0.0,0.0,,,-0.05,0.0,,,2020
child,0.0,0.0,0.0,0.0,,,0.0,0.81,7.08,,2020
chill,0.0,0.0,0.25,0.125,,,0.0,0.838,,,2020
choosy,0.0,0.0,0.75,0.25,,,0.0,0.252,,,2020
chubby,0.0,0.0,0.0,0.125,,,-0.45,0.0,,2.3,2020
citizen,0.0,0.0,0.0,0.0,,,0.0,0.06,,,2020
city,0.0,0.0,0.0,0.0,,,,,6.03,,2020
city_dweller,0.0,0.0,0.0,0.0,,,,,,,2020
class,0.0,0.0,0.0,0.0,,,,,,,2020
class_act,0.0,0.0,0.0,0.75,,,,,,,2020
classic,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.161,,6.36,2020
classical,0.0,0.0,0.0,0.25,,,0.0,0.164,,,2020
classist,0.0,0.0,0.0,0.0,,,0.0,0.313,,,2020
classy,0.0,0.0,0.0,0.375,,,0.0,0.9,,7.39,2020
clean,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,,,2020
clean_cut,0.0,0.0,0.0,0.0,,,,,,,2020
clear,0.0,0.0,0.0,0.25,0.0,1.0,,,,,2020
clever,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.164,,7.31,2020
climber,0.0,0.0,0.0,0.0,,,0.0,0.875,,,2020
clothed,0.0,0.0,0.0,0.0,,,,,,,2020
clothes,0.0,0.0,0.0,0.0,,,0.0,0.797,,,2020
clotheshorse,0.0,0.0,0.0,0.0,,,0.0,0.838,,,2020
clothing,0.0,0.0,0.0,0.0,,,0.0,0.144,6.54,,2020
clueless,0.0,0.0,0.5,0.125,,,-0.64,0.0,,1.94,2020
coach,0.0,0.0,0.0,0.0,,,,,,,2020
cocky,0.0,0.0,0.25,0.5,1.0,0.0,0.0,0.058,,2.44,2020
cold,0.0,0.0,0.125,0.0,1.0,0.0,-0.21,0.0,4.02,,2020
collected,0.0,0.0,0.0,0.0,,,,,,,2020
collector,0.0,0.0,0.0,0.0,,,-0.92,0.0,,,2020
college,0.0,0.0,0.0,0.0,,,,,,,2020
college_graduate,0.0,0.0,0.0,0.0,,,,,,,2020
college_student,0.0,0.0,0.0,0.0,,,,,,,2020
collegiate,0.0,0.0,0.0,0.0,,,0.0,0.843,,,2020
colorful,0.0,0.0,0.0,0.0,,,0.0,0.089,,6.5,2020
comfort,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.246,7.07,,2020
comfortable,0.0,1.0,0.75,0.0,0.0,1.0,0.0,0.76,,7.08,2020
comfy,0.0,0.0,0.75,0.0,,,0.0,0.595,,7.56,2020
committed,0.0,0.0,0.0,0.0,,,0.0,0.9,,,2020
common,0.0,0.0,0.0,0.0,0.0,1.0,,,,,2020
company,0.0,0.0,0.0,0.0,0.0,1.0,,,,,2020
compassionate,0.0,1.0,0.875,0.0,0.0,1.0,-0.72,0.0,,,2020
competent,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.349,,,2020
competitive,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.845,,5.32,2020
competitor,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.197,,,2020
conceited,0.0,0.0,0.75,0.0,,,0.0,0.054,,1.69,2020
concerned,0.0,0.0,0.0,0.0,,,-0.9,0.0,,4.44,2020
condescending,0.0,0.0,0.0,0.25,1.0,0.0,-0.81,0.0,,1.84,2020
confidence,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.984,,,2020
confident,0.0,1.0,0.0,0.375,0.0,1.0,0.0,0.754,7.98,,2020
conforming,0.0,0.0,0.0,0.0,,,,,,,2020
conformist,0.0,0.0,0.0,0.375,,,0.0,0.193,,,2020
confused,1.0,0.0,0.0,0.0,,,-0.27,0.0,3.21,2.6,2020
connected,0.0,0.0,0.0,0.0,,,-0.81,0.0,,,2020
connoisseur,0.0,0.0,0.0,0.0,,,-0.92,0.0,,,2020
conscience,0.0,0.0,0.0,0.125,0.0,1.0,0.0,0.891,,,2020
conscientious,0.0,0.0,0.375,0.25,0.0,1.0,0.0,0.797,,,2020
conscious,0.0,0.0,0.25,0.125,,,0.0,0.262,,,2020
conservative,0.0,0.0,0.0,0.0,,,0.0,0.843,,,2020
considerate,0.0,1.0,0.25,0.5,0.0,1.0,0.0,0.976,,7.61,2020
consistent,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.122,,,2020
conspicuous,0.0,0.0,0.0,0.75,,,0.0,0.845,,,2020
construction_worker,0.0,0.0,0.0,0.0,,,0.0,0.943,,,2020
consumer,0.0,0.0,0.0,0.0,,,0.0,0.816,,,2020
consumerist,0.0,0.0,0.0,0.0,,,-0.64,0.0,,,2020
contemporary,0.0,0.0,0.0,0.0,,,0.0,0.966,,,2020
content,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.966,,,2020
contractor,0.0,0.0,0.0,0.0,,,0.0,0.97,,,2020
conventional,0.0,0.0,0.375,0.375,,,-0.73,0.0,,4.68,2020
cook,0.0,0.0,0.0,0.0,,,0.0,0.863,6.16,,2020
cool,0.0,1.0,0.375,0.25,1.0,0.0,0.0,0.9,,6.96,2020
cool_guy,0.0,0.0,0.0,0.0,,,,,,,2020
cosmopolitan,0.0,0.0,0.0,0.0,,,0.0,0.814,,5.8,2020
cost,0.0,0.0,0.0,0.0,1.0,0.0,-0.81,0.0,,,2020
country,0.0,0.0,0.0,0.0,,,,,,,2020
courageous,0.0,1.0,0.125,0.375,0.0,1.0,,,,7.88,2020
cowboy,0.0,0.0,0.0,0.0,,,0.0,0.762,,,2020
crafty,0.0,0.0,0.125,0.625,1.0,0.0,0.0,0.9,,,2020
crazy,1.0,0.0,0.375,0.0,1.0,0.0,0.0,0.9,,,2020
creative,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.189,,8.07,2020
creator,0.0,0.0,0.0,0.0,,,,,,,2020
crisp,0.0,0.0,0.0,0.0,,,0.0,0.855,,,2020
crunchy,0.0,0.0,0.0,0.0,,,0.0,0.795,,,2020
cultured,0.0,0.0,0.0,0.0,,,,,,,2020
curious,0.0,0.0,0.375,0.125,,,0.0,0.91,6.08,,2020
current,0.0,0.0,0.0,0.0,,,0.0,0.898,,,2020
customer,0.0,0.0,0.0,0.0,,,,,,,2020
cute,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.068,7.62,,2020
cutting_edge,0.0,0.0,0.0,0.0,,,,,,,2020
dad,0.0,0.0,0.0,0.0,,,,,,,2020
dancer,0.0,0.0,0.0,0.0,,,0.0,0.936,7.14,,2020
dandy,0.0,0.0,0.0,0.0,,,0.0,0.841,,,2020
dapper,0.0,0.0,0.125,0.375,,,-0.82,0.0,,,2020
daredevil,0.0,0.0,0.5,0.0,,,-0.28,0.0,,,2020
daring,0.0,1.0,0.25,0.0,0.0,1.0,0.0,0.268,,,2020
dashing,0.0,0.0,0.0,0.0,,,0.0,0.276,,,2020
dated,0.0,0.0,0.0,0.0,,,,,,,2020
daughter,0.0,0.0,0.0,0.0,,,0.0,0.324,,,2020
deal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,,,2020
debonair,0.0,0.0,0.0,0.625,,,-0.94,0.0,,,2020
decent,0.0,1.0,0.0,0.875,0.0,1.0,0.0,0.9,,,2020
decisive,0.0,0.0,0.0,0.0,,,0.0,0.161,,,2020
dedicated,0.0,0.0,0.0,0.125,,,0.0,0.9,,,2020
delightful,0.0,1.0,0.0,0.75,0.0,1.0,0.0,0.9,,7.93,2020
demanding,0.0,0.0,0.25,0.0,,,-0.24,0.0,,,2020
democrat,0.0,0.0,0.0,0.0,,,,,,,2020
dentist,0.0,0.0,0.0,0.0,,,-0.81,0.0,4.02,,2020
dependable,0.0,0.0,0.0,0.375,0.0,1.0,-0.64,0.0,,7.32,2020
dependent,0.0,0.0,0.0,0.0,1.0,0.0,-0.94,0.0,,,2020
depressed,1.0,0.0,0.125,0.0,,,-0.25,0.0,1.83,1.03,2020
designer,0.0,0.0,0.0,0.0,,,0.0,0.947,,,2020
desirable,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.285,,,2020
desperate,1.0,0.0,0.25,0.0,1.0,0.0,-0.72,0.0,,1.89,2020
detailed,0.0,0.0,0.0,0.0,,,0.0,0.9,,,2020
determined,0.0,1.0,0.0,0.0,,,0.0,0.828,,,2020
developer,0.0,0.0,0.0,0.0,,,0.0,0.084,,,2020
different,0.0,0.0,0.0,0.625,,,,,,,2020
dignified,0.0,1.0,0.0,0.875,0.0,1.0,0.0,0.841,7.1,,2020
diligent,0.0,0.0,0.0,0.625,0.0,1.0,0.0,0.956,,,2020
direct,0.0,0.0,0.0,0.0,,,0.0,0.9,,,2020
dirty,0.0,0.0,0.75,0.0,1.0,0.0,-0.14,0.0,3.08,1.55,2020
discerning,0.0,0.0,0.0,0.5,,,,,,,2020
disciplined,0.0,0.0,0.0,0.0,,,,,,,2020
discount,0.0,0.0,0.0,0.0,,,0.0,0.888,,,2020
discriminating,0.0,0.0,0.0,0.0,,,,,,,2020
distinctive,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.83,,,2020
distinguished,0.0,0.0,0.25,0.0,0.0,1.0,,,,6.59,2020
diva,0.0,0.0,0.0,0.0,,,0.0,0.9,,,2020
diverse,0.0,0.0,0.0,0.125,,,0.0,0.942,,,2020
doctor,0.0,0.0,0.0,0.0,,,,,5.2,,2020
doer,0.0,0.0,0.0,0.0,,,0.0,0.726,,,2020
dope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9,,,2020
dork,1.0,0.0,0.0,0.125,,,-0.83,0.0,,,2020
douche,0.0,0.0,0.0,0.0,,,-0.81,0.0,,,2020
douchebag,0.0,0.0,0.0,0.0,,,-0.81,0.0,,,2020
douchey,0.0,0.0,0.0,0.0,,,,,,,2020
dreamer,0.0,0.0,0.0,0.0,,,-0.23,0.0,,,2020
dressed,0.0,0.0,0.0,0.0,,,,,,,2020
dresser,0.0,0.0,0.0,0.0,,,0.0,0.279,,,2020
dressy,0.0,0.0,0.25,0.0,,,-0.85,0.0,,,2020
drinker,0.0,0.0,0.0,0.0,,,-0.64,0.0,,,2020
driven,0.0,0.0,0.0,0.0,,,0.0,0.821,,,2020
driver,0.0,0.0,0.0,0.0,,,,,,,2020
dude,0.0,0.0,0.0,0.0,,,,,,,2020
dull,1.0,0.0,0.0,0.0,1.0,0.0,-0.06,0.0,,2.39,2020
dumb,1.0,0.0,0.25,0.0,1.0,0.0,-0.81,0.0,,0.88,2020
dummy,1.0,0.0,0.0,0.0,,,-0.06,0.0,3.38,,2020
durable,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.045,,7.21,2020
dweller,1.0,0.0,0.0,0.0,,,0.0,0.401,,,2020
dynamic,0.0,0.0,0.0,0.5,0.0,1.0,,,,6.77,2020
eager,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.725,,6.8,2020
earner,0.0,0.0,0.0,0.0,,,0.0,0.068,,,2020
earthy,0.0,0.0,0.75,0.0,,,0.0,0.787,,,2020
easily,0.0,1.0,0.0,0.25,,,0.0,0.943,,6.6,2020
easy,0.0,1.0,0.25,0.625,0.0,1.0,0.0,0.806,7.1,6.65,2020
easygoing,0.0,1.0,0.625,0.0,,,0.0,0.905,7.2,,2020
eater,0.0,0.0,0.0,0.0,,,0.0,0.253,,,2020
eccentric,0.0,0.0,0.0,0.0,1.0,0.0,-0.17,0.0,,4.92,2020
eclectic,0.0,0.0,0.0,0.0,,,-0.35,0.0,,5.9,2020
economical,0.0,0.0,0.0,0.25,,,0.0,0.177,,,2020
edgy,0.0,0.0,0.0,0.0,,,0.0,0.955,,,2020
educated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.028,,,2020
educator,0.0,0.0,0.0,0.0,,,0.0,0.287,,,2020
efficient,0.0,0.0,0.375,0.375,0.0,1.0,0.0,0.163,,7.1,2020
ego,0.0,0.0,0.375,0.5,,,-0.64,0.0,,,2020
egocentric,0.0,0.0,0.0,0.0,,,-0.77,0.0,,,2020
egoist,0.0,0.0,0.0,0.0,,,-0.77,0.0,,,2020
egotist,1.0,0.0,0.0,0.0,,,-0.38,0.0,,,2020
egotistic,1.0,0.0,0.0,0.25,,,-0.0,0.0,,1.71,2020
egotistical,1.0,0.0,0.0,0.25,1.0,0.0,-0.77,0.0,,1.59,2020
elder,0.0,0.0,0.0,0.0,,,,,,,2020
elderly,0.0,0.0,0.0,0.0,,,-0.16,0.0,,,2020
elegant,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.817,7.43,7.36,2020
elite,0.0,0.0,0.0,0.25,,,0.0,0.83,,,2020
elitist,0.0,0.0,0.0,0.0,,,0.0,0.313,,,2020
employed,0.0,0.0,0.0,0.0,,,,,,,2020
employee,0.0,0.0,0.0,0.0,,,0.0,0.917,,,2020
employer,0.0,0.0,0.0,0.0,,,0.0,0.917,,,2020
energetic,0.0,1.0,0.0,0.375,0.0,1.0,0.0,0.27,,7.28,2020
energized,0.0,1.0,0.0,0.5,,,,,,,2020
energy,0.0,1.0,0.0,0.0,,,0.0,0.83,,,2020
engaged,0.0,1.0,0.0,0.0,,,0.0,0.9,8.0,,2020
engaging,0.0,1.0,0.0,0.0,,,0.0,0.9,,7.2,2020
engineer,0.0,0.0,0.0,0.0,,,0.0,0.332,,,2020
english,0.0,0.0,0.0,0.0,,,,,,,2020
enjoyable,0.0,1.0,0.25,0.5,0.0,1.0,0.0,0.78,,7.52,2020
enjoys,0.0,1.0,0.0,0.375,,,0.0,0.9,,7.76,2020
entertainer,0.0,1.0,0.0,0.25,,,0.0,0.004,,,2020
entertaining,0.0,1.0,0.0,0.125,,,0.0,0.9,,7.36,2020
enthusiast,0.0,1.0,0.0,0.125,,,0.0,0.32,,,2020
enthusiastic,0.0,1.0,0.0,0.625,0.0,1.0,0.0,0.899,,7.68,2020
entitled,0.0,0.0,0.0,0.0,,,0.0,0.285,,,2020
entrepreneur,0.0,0.0,0.0,0.0,,,0.0,0.919,,,2020
entrepreneurial,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.406,,,2020
envied,1.0,0.0,0.125,0.375,,,,,,,2020
environmentalist,0.0,0.0,0.0,0.0,,,-0.29,0.0,,,2020
established,0.0,0.0,0.0,0.0,,,,,,,2020
european,0.0,0.0,0.0,0.0,,,-0.77,0.0,,,2020
everyday,0.0,0.0,0.0,0.125,,,,,,,2020
excessive,0.0,0.0,0.5,0.125,1.0,0.0,-0.88,0.0,,2.97,2020
excitable,0.0,0.0,0.25,0.25,,,0.0,0.229,,,2020
excited,0.0,1.0,0.375,0.25,0.0,1.0,0.0,0.181,,,2020
exciting,0.0,1.0,0.375,0.25,,,0.0,0.908,,7.55,2020
exclusive,0.0,0.0,0.0,0.0,,,0.0,0.9,,,2020
executive,0.0,0.0,0.0,0.25,,,-0.84,0.0,,,2020
exercise,0.0,0.0,0.0,0.0,,,,,7.13,,2020
exerciser,0.0,0.0,0.0,0.0,,,,,,,2020
exhibitionist,0.0,0.0,0.125,0.125,,,-0.76,0.0,,,2020
exotic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,,,2020
expensive,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.84,,,2020
experienced,0.0,0.0,0.0,0.0,,,0.0,0.255,,,2020
expert,0.0,0.0,0.0,0.0,0.0,1.0,,,,,2020
explorer,0.0,0.0,0.0,0.0,,,0.0,0.772,,,2020
expressive,0.0,0.0,0.125,0.375,,,-0.34,0.0,,6.7,2020
extra,0.0,0.0,0.0,0.0,,,0.0,0.076,,,2020
